Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
2_4207_4708,0.0,0.0,0.43611738085746765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1141156256198883,0.4452937841415405
2_4207_4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909241199493408,0.0,0.0
2_4207_4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979292154312134,0.0,0.0
1_4207_4820,0.0,0.0,0.0,0.5502700805664062,0.4461737275123596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_4221_4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22683236002922058,0.0,0.5586280822753906,0.21334153413772583,0.0
1_4221_4820,0.0,0.0,0.0,0.0,0.9621680378913879,0.0,0.0,0.0,0.03427579998970032,0.0,0.0,0.0
2_4447_4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7794633507728577,0.2134544551372528,0.0
2_4447_4861,0.0,0.0,0.0,0.0,0.0,0.12813621759414673,0.10225484520196915,0.0,0.0,0.06260079145431519,0.7059840559959412,0.0
1_4447_4820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960881471633911,0.0,0.0,0.0
2_4458_4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960881471633911,0.0,0.0
2_4458_4861,0.0,0.0,0.0,0.0,0.0,0.0,0.09209143370389938,0.604174017906189,0.0,0.05290454998612404,0.09670877456665039,0.15320159494876862
1_4458_4820,0.0,0.0,0.0,0.0,0.6049602031707764,0.0,0.0,0.0,0.3914836049079895,0.0,0.0,0.0
2_4489_4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5636237859725952,0.0,0.08139544725418091,0.20790518820285797,0.1460643708705902
1_4489_4820,0.0,0.0,0.0,0.9960881471633911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_4509_4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6557853817939758,0.3415912985801697,0.0
2_4509_4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38034313917160034,0.38955530524253845,0.22903169691562653
1_4509_4820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950271248817444,0.0,0.0,0.0
2_4524_4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6154648661613464,0.3828717768192291,0.0
1_4524_4820,0.0,0.0,0.0,0.0,0.6048980951309204,0.0,0.0,0.0,0.39154568314552307,0.0,0.0,0.0
2_4537_4848,0.21229027211666107,0.0,0.0,0.0,0.0,0.0,0.0,0.7862629294395447,0.0,0.0,0.0,0.0
2_4537_4861,0.0,0.0,0.0,0.0,0.0,0.0,0.40692800283432007,0.0,0.0,0.0,0.08911078423261642,0.5028517246246338
1_4537_4820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9935747385025024,0.0,0.0,0.0
2_4546_4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48094168305397034,0.5172764658927917,0.0
