Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,cluster,pet_max,pet_min,pet_mean,pet_std,dist_max,dist_std,dist_mean,dist_min,vel_max,vel_mean,vel_min,vel_std
2_7012_7872,0.06243942305445671,0.0,0.33605682849884033,0.0,0.0,0.34801679849624634,0.0,0.0,0.0,0.0,0.1894803196191788,0.06255195289850235,1,9.949806677545107,0.3912744194682371,4.244407230544117,3.329840106895169,9.95601983333569,2.6381261707696564,4.767534212800925,0.976124728645645,2.5649831178787004,1.5596702182946143,0.652771148951322,0.6410232273198853
1_7012_7896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956209659576416,0.0,0.0,0.0,0,9.88631549145207,5.330495149302,6.769002303284619,1.4176732063786646,13.8724075159534,0.06928286504614771,13.68159078305494,13.5588447459991,2.5649831178787004,2.098058372328388,1.4031928809016698,0.3875138379515696
1_7012_7901,0.0,0.06672383099794388,0.0,0.0,0.0,0.5841346383094788,0.0,0.0,0.035939354449510574,0.310454934835434,0.0,0.0,1,9.74152707266987,2.13874161274486,4.561350760056515,2.438828978065207,9.323605412296999,1.194303947305469,6.969081842416517,5.47746862692979,2.5649831178787004,1.810925399816941,0.918180575427292,0.5682498409169838
2_7016_7872,0.0,0.0,0.4365929365158081,0.0,0.0,0.18876229226589206,0.0,0.24482212960720065,0.0,0.0,0.12831658124923706,0.0,1,9.415726124630767,0.7571754286987281,4.402486860082234,2.5199295962213433,9.20772171400981,2.453486424553666,4.64198235423412,0.9912842930494572,1.33914036252817,1.1119385328735696,0.885756237944833,0.15377822485763326
1_7016_7901,0.0,0.0,0.0,0.0,0.0,0.0,0.997448980808258,0.0,0.0,0.0,0.0,0.0,3,9.829527559750199,3.84095253574551,6.195327455138134,1.8784251226611244,10.602324969589901,1.6507024815612754,7.124522632655522,5.11896860706481,1.33914036252817,1.1775313040108784,0.925413906831554,0.10678773303009452
2_7019_7864,0.5574036240577698,0.0,0.0,0.0,0.0,0.0,0.0,0.4390401840209961,0.0,0.0,0.0,0.0,1,9.89938100994749,6.5304870333545315,8.149364101154694,1.4879373223504198,15.043989967555401,1.4684585970140385,12.45281187783545,11.1830576868906,1.78105954878061,1.5507790594016924,1.1701004921321798,0.15479204225135376
2_7019_7872,0.0,0.0,0.0,0.0,0.4742318689823151,0.0,0.0,0.5242557525634766,0.0,0.0,0.0,0.0,1,8.10787046495996,0.3955747661704821,4.077881754003171,2.1844124638803493,12.566476957439498,3.324471458953799,5.7436659228078755,0.594449321213931,1.78105954878061,1.4077217715617425,1.09248036512498,0.18027534597772152
1_7019_7896,0.0,0.0,0.0,0.0,0.0,0.0,0.997036635875702,0.0,0.0,0.0,0.0,0.0,3,9.97555741358615,7.5988988569676685,8.600484768360598,0.7713246048800343,13.7934133955773,0.4444347022773032,13.05273925108956,12.256767874172098,1.78105954878061,1.5289278183358332,1.22867999912257,0.1384107308459711
1_7019_7901,0.0,0.0,0.0,0.0,0.0,0.0,0.9981393814086914,0.0,0.0,0.0,0.0,0.0,3,9.86532336508097,3.27550197822339,6.271514042418236,2.172582540355406,16.4532597989105,3.2580232862568885,8.662744759958779,4.91298180921026,1.6677871763583505,1.3864519437858043,1.10141037057116,0.14410198636933844
2_7023_7864,0.4969938099384308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4968027174472809,0.0,2,9.607840633962038,7.67751842972421,8.322664263377565,0.6138442125648824,11.115761964979502,0.46212596662823135,10.203485776251288,9.69425319182394,1.30274023058381,1.2299216808366795,1.0610267520704102,0.07206602274389762
2_7023_7872,0.0,0.0,0.16736480593681335,0.0,0.4218670725822449,0.0,0.0,0.14894673228263855,0.0,0.0,0.2604449391365051,0.0,1,9.93615394744135,1.37921796636296,4.640207366648728,2.447465335362927,11.1552168188467,2.714963888665223,5.4925661493007825,1.68010133918742,1.50832343516554,1.2127682157422164,0.935876760000627,0.16672291611332984
1_7023_7896,0.0,0.1294216364622116,0.0,0.0,0.0,0.0,0.7314730286598206,0.0,0.1360146701335907,0.0,0.0,0.0,3,9.934931843515411,8.43805448557061,9.116528169560919,0.45174911157649217,13.7365511241851,1.1512963226356228,12.165441701253606,10.9719220050767,1.50832343516554,1.335180909184277,1.12870257980004,0.11645435308385722
